Title,Author,Rating
The Only One Left,Riley Sager,"4.13 avg rating — 532,029 ratings"
Final Girls,Riley Sager,"3.82 avg rating — 246,385 ratings"
Then She Was Gone,Lisa Jewell,"4.04 avg rating — 924,352 ratings"
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,"4.25 avg rating — 812,164 ratings"
A Flicker in the Dark,Stacy Willingham,"3.98 avg rating — 562,827 ratings"
"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry,"4.56 avg rating — 224,631 ratings"
"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,"4.36 avg rating — 156,482 ratings"
"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,"3.92 avg rating — 736,968 ratings"
Peter Pan,J.M. Barrie,"4.03 avg rating — 369,051 ratings"
The Secret History,Donna Tartt,"4.16 avg rating — 960,278 ratings"
"The Titan’s Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,"4.37 avg rating — 1,184,238 ratings"
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,"4.42 avg rating — 1,191,743 ratings"
Love in the Time of Cholera,Gabriel García Márquez,"3.94 avg rating — 537,415 ratings"
"Insurgent (Divergent, #2)",Veronica Roth,"3.96 avg rating — 1,600,305 ratings"
The Addiction Manifesto,Jerry Weaver,"4.75 avg rating — 1,249 ratings"
A Walk to Remember,Nicholas Sparks,"4.20 avg rating — 838,901 ratings"
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,"4.24 avg rating — 1,324,656 ratings"
"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,"4.18 avg rating — 2,221,629 ratings"
"Clockwork Princess (The Infernal Devices, #3)",Cassandra Clare,"4.55 avg rating — 471,277 ratings"
How the Grinch Stole Christmas!,Dr. Seuss,"4.38 avg rating — 440,023 ratings"
The Thorn Birds,Colleen McCullough,"4.25 avg rating — 361,644 ratings"
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,"4.64 avg rating — 2,989,330 ratings"
"The Ultimate Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,"4.38 avg rating — 335,164 ratings"
"The Maze Runner (The Maze Runner, #1)",James Dashner,"4.05 avg rating — 1,642,876 ratings"
"Shadow Kiss (Vampire Academy, #3)",Richelle Mead,"4.33 avg rating — 378,546 ratings"
The Compleat Works of Wllm Shkspr,Reduced Shakespeare Company,"4.43 avg rating — 9,758 ratings"
Their Eyes Were Watching God,Zora Neale Hurston,"3.99 avg rating — 379,006 ratings"
"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,"really liked it4.00 avg rating — 500,618 ratings"
The Importance of Being Earnest,Oscar Wilde,"4.17 avg rating — 398,764 ratings"
Atonement,Ian McEwan,"3.95 avg rating — 553,742 ratings"
The Three Musketeers,Alexandre Dumas,"4.10 avg rating — 345,557 ratings"
The Lorax,Dr. Seuss,"4.35 avg rating — 364,450 ratings"
"Eat, Pray, Love",Elizabeth Gilbert,"3.64 avg rating — 1,823,207 ratings"
Goodnight Moon,Margaret Wise Brown,"4.32 avg rating — 390,277 ratings"
"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",Suzanne Collins,"4.50 avg rating — 232,102 ratings"
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"4.40 avg rating — 3,873,705 ratings"
A Midsummer Night’s Dream,William Shakespeare,"3.94 avg rating — 569,580 ratings"
The Diary of a Young Girl,Anne Frank,"4.20 avg rating — 4,089,475 ratings"
"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,"4.20 avg rating — 706,572 ratings"
Bridge to Terabithia,Katherine Paterson,"4.06 avg rating — 581,371 ratings"
"Frostbite (Vampire Academy, #2)",Richelle Mead,"4.25 avg rating — 369,256 ratings"
Heart of Darkness,Joseph Conrad,"3.43 avg rating — 547,464 ratings"
"The Selection (The Selection, #1)",Kiera Cass,"4.07 avg rating — 1,723,294 ratings"
Tess of the D’Urbervilles,Thomas Hardy,"3.84 avg rating — 298,462 ratings"
The Night Circus,Erin Morgenstern,"really liked it4.00 avg rating — 1,072,293 ratings"
The Prophet,Kahlil Gibran,"4.23 avg rating — 322,214 ratings"
The Call of the Wild,Jack London,"3.91 avg rating — 462,578 ratings"
"Blood Promise (Vampire Academy, #4)",Richelle Mead,"4.30 avg rating — 324,671 ratings"
Alice in Wonderland,Jane Carruth,"4.03 avg rating — 395,907 ratings"
The Joy Luck Club,Amy Tan,"3.97 avg rating — 704,372 ratings"
"The Good Earth (House of Earth, #1)",Pearl S. Buck,"4.01 avg rating — 258,222 ratings"
The Phantom Tollbooth,Norton Juster,"4.20 avg rating — 302,549 ratings"
"Oh, the Places You’ll Go!",Dr. Seuss,"4.37 avg rating — 436,102 ratings"
The Neverending Story,Michael Ende,"4.18 avg rating — 216,698 ratings"
Madame Bovary,Gustave Flaubert,"3.71 avg rating — 365,402 ratings"
Treasure Island,Robert Louis Stevenson,"3.85 avg rating — 530,055 ratings"
Oliver Twist,Charles Dickens,"3.88 avg rating — 420,691 ratings"
"The Mists of Avalon (Avalon, #1)",Marion Zimmer Bradley,"4.13 avg rating — 211,486 ratings"
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,"4.55 avg rating — 832,678 ratings"
Jonathan Livingston Seagull,Richard Bach,"3.86 avg rating — 268,028 ratings"
The Boy in the Striped Pajamas,John Boyne,"4.16 avg rating — 939,746 ratings"
Ulysses,James Joyce,"3.77 avg rating — 138,754 ratings"
"Jurassic Park (Jurassic Park, #1)",Michael Crichton,"4.12 avg rating — 1,036,565 ratings"
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,"3.67 avg rating — 2,814,911 ratings"
"Beloved (Beloved Trilogy, #1)",Toni Morrison,"3.97 avg rating — 478,886 ratings"
"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,"4.29 avg rating — 922,896 ratings"
"The Clan of the Cave Bear (Earth's Children, #1)",Jean M. Auel,"4.10 avg rating — 279,295 ratings"
A Farewell to Arms,Ernest Hemingway,"3.82 avg rating — 345,801 ratings"
David Copperfield,Charles Dickens,"4.04 avg rating — 253,737 ratings"
The Canterbury Tales,Geoffrey Chaucer,"3.52 avg rating — 235,079 ratings"
A Little Princess,Frances Hodgson Burnett,"4.23 avg rating — 321,022 ratings"
The World According to Garp,John Irving,"4.11 avg rating — 236,392 ratings"
"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,"4.13 avg rating — 995,777 ratings"
Thirteen Reasons Why,Jay Asher,"3.84 avg rating — 1,015,660 ratings"
His Dark Materials (His Dark Materials #1-3),Philip Pullman,"4.29 avg rating — 166,941 ratings"
The Iliad / The Odyssey,Homer,"4.07 avg rating — 82,365 ratings"
"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,"3.51 avg rating — 671,356 ratings"
The Silmarillion,J.R.R. Tolkien,"4.03 avg rating — 326,452 ratings"
"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare,"4.42 avg rating — 579,381 ratings"
"Shōgun (Asian Saga, #1)",James Clavell,"4.41 avg rating — 207,460 ratings"
The Velveteen Rabbit,Margery Williams Bianco,"4.31 avg rating — 269,598 ratings"
Schindler’s List,Thomas Keneally,"4.34 avg rating — 164,543 ratings"
"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,"4.29 avg rating — 429,624 ratings"
The Trial,Franz Kafka,"3.94 avg rating — 380,099 ratings"
