Title,Author,Rating
"The Dark Tower (The Dark Tower, #7)",Stephen        King,"4.29 avg rating — 186,001 ratings"
"The Hunt for Red October (Jack Ryan, #3)",Tom Clancy,"4.12 avg rating — 385,628 ratings"
We Have Always Lived in the Castle,Shirley Jackson,"3.92 avg rating — 275,855 ratings"
"The Hawthorne Legacy (The Inheritance Games, #2)",Jennifer Lynn Barnes,"4.19 avg rating — 585,177 ratings"
"The Eden Paradox (Eden Paradox, #1)",Barry Kirwan,"4.21 avg rating — 16,154 ratings"
The Bridges of Madison County,Robert James Waller,"3.71 avg rating — 104,645 ratings"
Tender Is the Night,F. Scott Fitzgerald,"3.77 avg rating — 147,048 ratings"
On Earth We're Briefly Gorgeous,Ocean Vuong,"4.02 avg rating — 379,552 ratings"
"From Blood and Ash (Blood and Ash, #1)",Jennifer L. Armentrout,"4.22 avg rating — 793,398 ratings"
"Linger (The Wolves of Mercy Falls, #2)",Maggie Stiefvater,"3.88 avg rating — 174,495 ratings"
A Room of One’s Own,Virginia Woolf,"4.22 avg rating — 248,459 ratings"
A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,"4.07 avg rating — 437,473 ratings"
The Long Walk,Richard  Bachman,"4.06 avg rating — 228,854 ratings"
The Three Witches and the Master,Max Nowaz,"4.30 avg rating — 18,086 ratings"
"The City of Ember (Book of Ember, #1)",Jeanne DuPrau,"3.90 avg rating — 295,707 ratings"
Ethan Frome,Edith Wharton,"3.45 avg rating — 135,310 ratings"
Deception Point,Dan    Brown,"3.76 avg rating — 692,737 ratings"
No Longer Human,Osamu Dazai,"3.95 avg rating — 232,036 ratings"
"Forrest Gump (Forrest Gump, #1)",Winston Groom,"4.01 avg rating — 71,587 ratings"
The Sea of Tranquility,Katja Millay,"4.29 avg rating — 88,232 ratings"
Survivor,Chuck Palahniuk,"3.93 avg rating — 122,790 ratings"
"The Poppy War (The Poppy War, #1)",R.F. Kuang,"4.17 avg rating — 430,127 ratings"
Turtles All the Way Down,John Green,"3.88 avg rating — 629,044 ratings"
"84, Charing Cross Road",Helene Hanff,"4.16 avg rating — 93,594 ratings"
Exodus,Leon Uris,"4.34 avg rating — 100,975 ratings"
Pale Fire,Vladimir Nabokov,"4.17 avg rating — 56,153 ratings"
The Ruthless Elimination of Hurry: How to Stay Emotionally Healthy and Spiritually Alive in the Chaos of the Modern World,John Mark Comer,"4.51 avg rating — 86,244 ratings"
"Dead as a Doornail (Sookie Stackhouse, #5)",Charlaine Harris,"4.01 avg rating — 223,665 ratings"
"Absalom, Absalom!",William Faulkner,"3.99 avg rating — 47,148 ratings"
Gift from the Sea,Anne Morrow Lindbergh,"4.14 avg rating — 54,879 ratings"
I'm Glad You're Dead: Preternatural Chronicles Book 1,Hunter Blain,"4.22 avg rating — 2,544 ratings"
The Sorrows of Young Werther,Johann Wolfgang von Goethe,"3.69 avg rating — 149,856 ratings"
"Walking Disaster (Beautiful, #2)",Jamie McGuire,"4.14 avg rating — 203,752 ratings"
"A Study in Scarlet (Sherlock Holmes, #1)",Arthur Conan Doyle,"4.13 avg rating — 484,017 ratings"
Where the Heart Is,Billie Letts,"4.04 avg rating — 251,957 ratings"
"Daughter of the Forest  (Sevenwaters, #1)",Juliet Marillier,"4.29 avg rating — 69,932 ratings"
"Kane & Abel (Kane & Abel, #1)",Jeffrey Archer,"4.34 avg rating — 129,132 ratings"
Nausea,Jean-Paul Sartre,"3.93 avg rating — 134,993 ratings"
The Fall,Albert Camus,"4.03 avg rating — 128,830 ratings"
"The Reckoning (Darkest Powers, #3)",Kelley Armstrong,"4.18 avg rating — 118,506 ratings"
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,"4.28 avg rating — 470,067 ratings"
Illusions: The Adventures of a Reluctant Messiah,Richard Bach,"4.15 avg rating — 66,046 ratings"
Hello Beautiful,Ann Napolitano,"4.14 avg rating — 503,735 ratings"
Revolutionary Road,Richard Yates,"3.93 avg rating — 92,248 ratings"
Thus Spoke Zarathustra,Friedrich Nietzsche,"4.07 avg rating — 170,538 ratings"
Shakespeare's Sonnets,William Shakespeare,"4.25 avg rating — 110,825 ratings"
"Specials (Uglies, #3)",Scott Westerfeld,"3.75 avg rating — 202,268 ratings"
"The Amulet of Samarkand (Bartimaeus, #1)",Jonathan Stroud,"4.04 avg rating — 133,606 ratings"
"The Awakening (Darkest Powers, #2)",Kelley Armstrong,"4.14 avg rating — 117,532 ratings"
Cold Sassy Tree,Olive Ann Burns,"4.02 avg rating — 104,958 ratings"
Heartless,Marissa Meyer,"4.09 avg rating — 245,393 ratings"
"The Millennium Trilogy (Millennium Trilogy, #1-3)",Stieg Larsson,"4.47 avg rating — 57,077 ratings"
"The Mysterious Benedict Society (The Mysterious Benedict Society, #1)",Trenton Lee Stewart,"4.20 avg rating — 172,324 ratings"
"Definitely Dead (Sookie Stackhouse, #6)",Charlaine Harris,"4.02 avg rating — 210,158 ratings"
The Hotel New Hampshire,John Irving,"3.93 avg rating — 68,094 ratings"
"Breaking Dawn (The Twilight Saga, #4)",Stephenie Meyer,"3.75 avg rating — 1,838,271 ratings"
"The Ruins of Gorlan (Ranger's Apprentice, #1)",John Flanagan,"4.26 avg rating — 172,171 ratings"
Beach Read,Emily Henry,"3.98 avg rating — 1,542,623 ratings"
"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,"3.99 avg rating — 1,087,800 ratings"
"Reflected in You (Crossfire, #2)",Sylvia Day,"4.30 avg rating — 362,989 ratings"
"Guilty Pleasures (Anita Blake, Vampire Hunter, #1)",Laurell K. Hamilton,"4.02 avg rating — 152,371 ratings"
The Immortal Life of Henrietta Lacks,Rebecca Skloot,"4.13 avg rating — 789,632 ratings"
The Fountainhead,Ayn Rand,"3.89 avg rating — 334,377 ratings"
A Million Little Pieces,James Frey,"3.69 avg rating — 261,306 ratings"
"Kingdom of Ash (Throne of Glass, #7)",Sarah J. Maas,"4.71 avg rating — 976,731 ratings"
The Brief Wondrous Life of Oscar Wao,Junot Díaz,"3.89 avg rating — 275,542 ratings"
